#time 	tag	 type*	 value
45600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
45900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
46500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
46800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
47100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
47400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
47700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
48300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
48900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
49200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
49500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
49800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
50400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
50700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
